Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
TOWWAPM,2023-07-15,Reading 2,Brixton Mixed,15,5,mixed
TOWWAPM,2023-07-15,Zoo 1,Cambridge Ultimate 2,14,3,mixed
TOWWAPM,2023-07-15,SLAB,Black Sheep Mixed,15,3,mixed
TOWWAPM,2023-07-15,Bristol Mixed,Red Mixed,12,3,mixed
TOWWAPM,2023-07-15,Lemmings 1,GB Mixed Masters,10,9,mixed
TOWWAPM,2023-07-15,Cambridge Ultimate 1,Purple Cobras Mixed,13,9,mixed
TOWWAPM,2023-07-15,Deep Space,SMOG 2,10,8,mixed
TOWWAPM,2023-07-15,Thundering Herd,Flyght Mixed,11,9,mixed
TOWWAPM,2023-07-15,Newcastle Brown,Sheffield Steal Mixed,9,10,mixed
TOWWAPM,2023-07-15,SLAB,Red Mixed,15,2,mixed
TOWWAPM,2023-07-15,Bristol Mixed,Black Sheep Mixed,11,8,mixed
TOWWAPM,2023-07-15,Contested 1,Curve,9,9,mixed
TOWWAPM,2023-07-15,SMOG 1,BN1,11,5,mixed
TOWWAPM,2023-07-15,Oxford Ultimate Mixed,Big Fish Little Fish,12,9,mixed
TOWWAPM,2023-07-15,Glasgow Mixed,Mixed Feelings,14,8,mixed
TOWWAPM,2023-07-15,Lemmings 2,Exe and the City,9,12,mixed
TOWWAPM,2023-07-15,SLAB,Bristol Mixed,14,1,mixed
TOWWAPM,2023-07-15,SMOG 1,Big Fish Little Fish,15,4,mixed
TOWWAPM,2023-07-15,Oxford Ultimate Mixed,BN1,11,9,mixed
TOWWAPM,2023-07-15,Deep Space,Flyght Mixed,15,1,mixed
TOWWAPM,2023-07-15,Thundering Herd,SMOG 2,6,11,mixed
TOWWAPM,2023-07-15,Nemesis,Sheffield Steal Mixed,6,8,mixed
TOWWAPM,2023-07-15,Lemmings 1,Purple Cobras Mixed,11,4,mixed
TOWWAPM,2023-07-15,Cambridge Ultimate 1,GB Mixed Masters,9,7,mixed
TOWWAPM,2023-07-15,LLLeeds Mixed 1,Curve,9,8,mixed
TOWWAPM,2023-07-15,Black Sheep Mixed,Red Mixed,7,9,mixed
TOWWAPM,2023-07-15,Glasgow Mixed,Exe and the City,7,13,mixed
TOWWAPM,2023-07-15,Lemmings 2,Mixed Feelings,15,4,mixed
TOWWAPM,2023-07-15,Reading 2,Cambridge Ultimate 2,15,3,mixed
TOWWAPM,2023-07-15,Zoo 1,Brixton Mixed,11,3,mixed
TOWWAPM,2023-07-15,SMOG 1,Oxford Ultimate Mixed,14,6,mixed
TOWWAPM,2023-07-15,BN1,Big Fish Little Fish,9,11,mixed
TOWWAPM,2023-07-15,Deep Space,Thundering Herd,13,6,mixed
TOWWAPM,2023-07-15,SMOG 2,Flyght Mixed,15,3,mixed
TOWWAPM,2023-07-15,Newcastle Brown,Nemesis,10,7,mixed
TOWWAPM,2023-07-15,Lemmings 1,Cambridge Ultimate 1,10,5,mixed
TOWWAPM,2023-07-15,GB Mixed Masters,Purple Cobras Mixed,13,2,mixed
TOWWAPM,2023-07-15,Contested 1,LLLeeds Mixed 1,11,7,mixed
TOWWAPM,2023-07-15,Glasgow Mixed,Lemmings 2,8,11,mixed
TOWWAPM,2023-07-15,Mixed Feelings,Exe and the City,5,15,mixed
TOWWAPM,2023-07-15,Reading 2,Zoo 1,10,7,mixed
TOWWAPM,2023-07-15,Brixton Mixed,Cambridge Ultimate 2,11,9,mixed
TOWWAPM,2023-07-16,Brixton Mixed,Black Sheep Mixed,8,9,mixed
TOWWAPM,2023-07-16,Red Mixed,Cambridge Ultimate 2,14,10,mixed
TOWWAPM,2023-07-16,LLLeeds Mixed 1,Zoo 1,14,2,mixed
TOWWAPM,2023-07-16,Newcastle Brown,Bristol Mixed,9,6,mixed
TOWWAPM,2023-07-16,Purple Cobras Mixed,Reading 2,5,10,mixed
TOWWAPM,2023-07-16,Mixed Feelings,SLAB,7,15,mixed
TOWWAPM,2023-07-16,BN1,Contested 1,8,13,mixed
TOWWAPM,2023-07-16,Flyght Mixed,Sheffield Steal Mixed,10,11,mixed
TOWWAPM,2023-07-16,Nemesis,Black Sheep Mixed,15,4,mixed
TOWWAPM,2023-07-16,Curve,Cambridge Ultimate 2,15,11,mixed
TOWWAPM,2023-07-16,LLLeeds Mixed 1,Bristol Mixed,13,5,mixed
TOWWAPM,2023-07-16,Newcastle Brown,Zoo 1,13,7,mixed
TOWWAPM,2023-07-16,SMOG 1,Cambridge Ultimate 1,15,8,mixed
TOWWAPM,2023-07-16,Exe and the City,SMOG 2,14,9,mixed
TOWWAPM,2023-07-16,Lemmings 1,Oxford Ultimate Mixed,13,6,mixed
TOWWAPM,2023-07-16,Deep Space,Lemmings 2,13,8,mixed
TOWWAPM,2023-07-16,Glasgow Mixed,Big Fish Little Fish,13,6,mixed
TOWWAPM,2023-07-16,GB Mixed Masters,Thundering Herd,14,8,mixed
TOWWAPM,2023-07-16,Brixton Mixed,Nemesis,6,14,mixed
TOWWAPM,2023-07-16,Red Mixed,Curve,13,12,mixed
TOWWAPM,2023-07-16,Flyght Mixed,Purple Cobras Mixed,9,11,mixed
TOWWAPM,2023-07-16,BN1,Mixed Feelings,8,14,mixed
TOWWAPM,2023-07-16,SMOG 1,Exe and the City,12,10,mixed
TOWWAPM,2023-07-16,SMOG 2,Cambridge Ultimate 1,6,12,mixed
TOWWAPM,2023-07-16,Deep Space,Lemmings 1,15,9,mixed
TOWWAPM,2023-07-16,Oxford Ultimate Mixed,Lemmings 2,6,12,mixed
TOWWAPM,2023-07-16,Reading 2,Sheffield Steal Mixed,15,10,mixed
TOWWAPM,2023-07-16,SLAB,Contested 1,15,6,mixed
TOWWAPM,2023-07-16,Purple Cobras Mixed,Mixed Feelings,12,10,mixed
TOWWAPM,2023-07-16,BN1,Flyght Mixed,13,1,mixed
TOWWAPM,2023-07-16,LLLeeds Mixed 1,Newcastle Brown,11,10,mixed
TOWWAPM,2023-07-16,Zoo 1,Bristol Mixed,7,11,mixed
TOWWAPM,2023-07-16,Glasgow Mixed,GB Mixed Masters,8,10,mixed
TOWWAPM,2023-07-16,Thundering Herd,Big Fish Little Fish,11,10,mixed
TOWWAPM,2023-07-16,Reading 2,SLAB,10,12,mixed
TOWWAPM,2023-07-16,Contested 1,Sheffield Steal Mixed,11,10,mixed
TOWWAPM,2023-07-16,Nemesis,Red Mixed,15,6,mixed
TOWWAPM,2023-07-16,SMOG 1,Deep Space,10,8,mixed
TOWWAPM,2023-07-16,Lemmings 1,Exe and the City,12,9,mixed
TOWWAPM,2023-07-16,Cambridge Ultimate 1,Lemmings 2,15,10,mixed
TOWWAPM,2023-07-16,Oxford Ultimate Mixed,SMOG 2,6,13,mixed
TOWWAPM,2023-07-16,Curve,Black Sheep Mixed,14,12,mixed
TOWWAPM,2023-07-16,Brixton Mixed,Cambridge Ultimate 2,6,12,mixed