"Team","Aliases"
"SMOG Men"
"Bristol Open"
"Reading Open"
"Devon 1","Devon"
"Cambridge Ultimate"
"Ka-Pow!"
"Fire of London"
"Flyght Open 1","Flyght Open"
"Lemmings 1","Lemmings"
"Manchester Ultimate"
"Newcastle Brown"
"LLLeeds Open 1"
"Birmingham Ultimate","Birmingham Ultimate Open"
"Oxford Ultimate","Oxford Ultimate Open"
"Bristol Open 2"
"Brighton Ultimate","Brighton Ultimate Open"
"Steal","Steal Open"
"Flyght Open 2"
"SOLENT","SOLENT 1,SOLENT A"
"Brixton","Brixton Open"
"St Albans","St Albans Open"
"Manchester Bees"
"Yorkshire Ultimate"
"Curve","Curve Open"
"Lemmings 2"
"Clapham","Clapham Ultimate"
"Alba"
"SMASH'D"
"PELT Ultimate"
"GB U24 Open"
"GB Open Masters"
"Tribe Open"
"Edinburgh Ultimate","EDI"
"Ireland U24 Open"
"SOLENT 2"
"Glasgow Open"
"Thundering Herd"
"GB U20 Open"
"GB Grand Masters Open"
"Ranelagh"
"XVI"
"Dublin Frisbee 7s"
"Zimmer"
"Chevron Action Flash"
"Guildford Ultimate Open"
"Plymouth Ultimate Open"
"Red Open"
"Newcastle Brown 2"