Tournament,Date,Team_1,Team_2,Score_1,Score_2
Mixed Imperial,2023-03-25,BN1,Oxford Ultimate,9,8
Mixed Imperial,2023-03-25,Brixton,Plymouth Ultimate,6,1
Mixed Imperial,2023-03-25,Cambridge Ultimate,Brixton,11,6
Mixed Imperial,2023-03-25,Cambridge Ultimate,Plymouth Ultimate,14,1
Mixed Imperial,2023-03-25,Curve,Guildford,6,3
Mixed Imperial,2023-03-25,Curve,Sharkbear!,11,1
Mixed Imperial,2023-03-25,Curve,Zoo 1,7,3
Mixed Imperial,2023-03-25,Deep Space,GB U24 Mixed,11,6
Mixed Imperial,2023-03-25,Deep Space,Thundering Herd,8,4
Mixed Imperial,2023-03-25,GB U24 Mixed,Thundering Herd,10,8
Mixed Imperial,2023-03-25,Guildford,Sharkbear!,6,4
Mixed Imperial,2023-03-25,Hooves,Deep Space,13,7
Mixed Imperial,2023-03-25,Hooves,GB U24 Mixed,12,6
Mixed Imperial,2023-03-25,Hooves,Thundering Herd,10,4
Mixed Imperial,2023-03-25,Lemmings 1,BN1,10,9
Mixed Imperial,2023-03-25,Lemmings 1,Oxford Ultimate,13,10
Mixed Imperial,2023-03-25,Mixed Feelings,Curve,8,3
Mixed Imperial,2023-03-25,Mixed Feelings,Guildford,10,1
Mixed Imperial,2023-03-25,Mixed Feelings,Sharkbear!,13,1
Mixed Imperial,2023-03-25,Mixed Feelings,Zoo 1,9,3
Mixed Imperial,2023-03-25,Purple Cobras,Brixton,11,4
Mixed Imperial,2023-03-25,Purple Cobras,Cambridge Ultimate,8,3
Mixed Imperial,2023-03-25,Purple Cobras,Plymouth Ultimate,13,4
Mixed Imperial,2023-03-25,Reading,BN1,13,9
Mixed Imperial,2023-03-25,Reading,Lemmings 1,12,7
Mixed Imperial,2023-03-25,Reading,Oxford Ultimate,13,9
Mixed Imperial,2023-03-25,Zoo 1,Guildford,7,2
Mixed Imperial,2023-03-25,Zoo 1,Sharkbear!,6,3
Mixed Imperial,2023-03-26,BN1,Curve,15,4
Mixed Imperial,2023-03-26,BN1,Thundering Herd,10,5
Mixed Imperial,2023-03-26,Brixton,Guildford,5,3
Mixed Imperial,2023-03-26,Brixton,Sharkbear!,12,2
Mixed Imperial,2023-03-26,Brixton,Zoo 1,5,3
Mixed Imperial,2023-03-26,Cambridge Ultimate,Mixed Feelings,15,10
Mixed Imperial,2023-03-26,Cambridge Ultimate,Purple Cobras,10,7
Mixed Imperial,2023-03-26,Deep Space,Reading,15,13
Mixed Imperial,2023-03-26,GB U24 Mixed,BN1,11,8
Mixed Imperial,2023-03-26,GB U24 Mixed,Cambridge Ultimate,14,5
Mixed Imperial,2023-03-26,GB U24 Mixed,Oxford Ultimate,15,4
Mixed Imperial,2023-03-26,Guildford,Plymouth Ultimate,8,4
Mixed Imperial,2023-03-26,Guildford,Sharkbear!,8,1
Mixed Imperial,2023-03-26,Guildford,Zoo 1,8,7
Mixed Imperial,2023-03-26,Hooves,Deep Space,15,13
Mixed Imperial,2023-03-26,Hooves,Lemmings 1,15,10
Mixed Imperial,2023-03-26,Mixed Feelings,Curve,15,3
Mixed Imperial,2023-03-26,Oxford Ultimate,Mixed Feelings,15,9
Mixed Imperial,2023-03-26,Plymouth Ultimate,Brixton,8,7
Mixed Imperial,2023-03-26,Plymouth Ultimate,Sharkbear!,10,3
Mixed Imperial,2023-03-26,Plymouth Ultimate,Zoo 1,8,4
Mixed Imperial,2023-03-26,Purple Cobras,Curve,15,10
Mixed Imperial,2023-03-26,Reading,Lemmings 1,12,7
Mixed Imperial,2023-03-26,Thundering Herd,Oxford Ultimate,13,12
Mixed Imperial,2023-03-26,Thundering Herd,Purple Cobras,13,7
Mixed Imperial,2023-03-26,Zoo 1,Sharkbear!,7,3
Grey Towers,2023-06-17,Contested 1st,Black Sheep Mixed,12,5
Grey Towers,2023-06-17,Contested 1st,Glasgow Mixed 2,11,6
Grey Towers,2023-06-17,Contested 1st,LLLeeds 1,9,8
Grey Towers,2023-06-17,Glasgow Mixed,Mamak Ult,15,3
Grey Towers,2023-06-17,Glasgow Mixed,Newcastle Brown,14,4
Grey Towers,2023-06-17,Glasgow Mixed,Sheffield Steal,13,8
Grey Towers,2023-06-17,Glasgow Mixed 2,Black Sheep Mixed,9,6
Grey Towers,2023-06-17,LLLeeds 1,Black Sheep Mixed,13,4
Grey Towers,2023-06-17,LLLeeds 1,Glasgow Mixed 2,11,3
Grey Towers,2023-06-17,Mamak Ult,Sheffield Steal,9,8
Grey Towers,2023-06-17,Nemesis,Black Sheep Mixed,12,5
Grey Towers,2023-06-17,Nemesis,Contested 1st,9,8
Grey Towers,2023-06-17,Nemesis,Glasgow Mixed 2,10,6
Grey Towers,2023-06-17,Nemesis,LLLeeds 1,11,10
Grey Towers,2023-06-17,Newcastle Brown,Mamak Ult,13,9
Grey Towers,2023-06-17,Newcastle Brown,Sheffield Steal,14,8
Mooxed,2023-06-17,BN1,Mixed Feelings,15,6
Mooxed,2023-06-17,Bristol Mixed,Curve,15,4
Mooxed,2023-06-17,Bristol Mixed,Guildford,14,4
Mooxed,2023-06-17,Brixton,Bristol Mixed,12,5
Mooxed,2023-06-17,Flyght Mixed,Birmingham Ultimate,14,8
Mooxed,2023-06-17,GB Mixed Masters,Purple Cobras,15,2
Mooxed,2023-06-17,GB Mixed Masters,Reading 2,14,8
Mooxed,2023-06-17,Lemmings 1,BN1,14,8
Mooxed,2023-06-17,Lemmings 1,South Wales Storm Mixed,15,3
Mooxed,2023-06-17,Lemmings 1,Thundering Herd,15,9
Mooxed,2023-06-17,Lemmings 2,Flyght Mixed,15,10
Mooxed,2023-06-17,Lemmings 2,GB Mixed Masters,12,11
Mooxed,2023-06-17,Lemmings 2,Reading 2,15,14
Mooxed,2023-06-17,Mixed Feelings,Thundering Herd 2,15,5
Mooxed,2023-06-17,Norwich Ultimate,Curve,10,4
Mooxed,2023-06-17,Norwich Ultimate,South Wales Storm Mixed,11,7
Mooxed,2023-06-17,Norwich Ultimate,Thundering Herd 2,14,8
Mooxed,2023-06-17,Oxford Ultimate,BN1,12,6
Mooxed,2023-06-17,Oxford Ultimate,Mixed Feelings,12,9
Mooxed,2023-06-17,Purple Cobras,Birmingham Ultimate,13,5
Mooxed,2023-06-17,Purple Cobras,Flyght Mixed,11,4
Mooxed,2023-06-17,Reading 2,Brixton,15,7
Mooxed,2023-06-17,Thundering Herd,Oxford Ultimate,10,9
Mooxed,2023-06-17,Thundering Herd,South Wales Storm Mixed,15,2
Mooxed,2023-06-17,Thundering Herd 2,Curve,15,9
Mooxed,2023-06-17,Zoo 1,Birmingham Ultimate,11,9
Mooxed,2023-06-17,Zoo 1,Brixton,15,6
Mooxed,2023-06-17,Zoo 1,Guildford,15,5
Grey Towers,2023-06-18,Black Sheep Mixed,Mamak Ult,12,5
Grey Towers,2023-06-18,Black Sheep Mixed,Sheffield Steal,13,10
Grey Towers,2023-06-18,Contested 1st,Nemesis,15,8
Grey Towers,2023-06-18,Glasgow Mixed,Contested 1st,15,7
Grey Towers,2023-06-18,Glasgow Mixed,Newcastle Brown,15,2
Grey Towers,2023-06-18,Glasgow Mixed 2,Mamak Ult,11,9
Grey Towers,2023-06-18,Glasgow Mixed 2,Sheffield Steal,10,9
Grey Towers,2023-06-18,LLLeeds 1,Mamak Ult,15,6
Grey Towers,2023-06-18,LLLeeds 1,Sheffield Steal,15,4
Grey Towers,2023-06-18,Newcastle Brown,Nemesis,12,10
Mooxed,2023-06-18,BN1,Purple Cobras,11,6
Mooxed,2023-06-18,BN1,Zoo 1,12,9
Mooxed,2023-06-18,Birmingham Ultimate,South Wales Storm Mixed,10,4
Mooxed,2023-06-18,Birmingham Ultimate,Thundering Herd 2,10,6
Mooxed,2023-06-18,Bristol Mixed,Birmingham Ultimate,9,7
Mooxed,2023-06-18,Bristol Mixed,Brixton,12,6
Mooxed,2023-06-18,Bristol Mixed,Curve,14,6
Mooxed,2023-06-18,Brixton,Guildford,9,6
Mooxed,2023-06-18,Curve,South Wales Storm Mixed,10,8
Mooxed,2023-06-18,Flyght Mixed,Norwich Ultimate,15,6
Mooxed,2023-06-18,Guildford,Curve,12,9
Mooxed,2023-06-18,Guildford,Thundering Herd 2,13,6
Mooxed,2023-06-18,Lemmings 1,GB Mixed Masters,12,6
Mooxed,2023-06-18,Lemmings 1,Thundering Herd,15,8
Mooxed,2023-06-18,Lemmings 2,GB Mixed Masters,10,9
Mooxed,2023-06-18,Mixed Feelings,Flyght Mixed,11,9
Mooxed,2023-06-18,Mixed Feelings,Purple Cobras,11,10
Mooxed,2023-06-18,Oxford Ultimate,BN1,13,6
Mooxed,2023-06-18,Oxford Ultimate,Mixed Feelings,15,7
Mooxed,2023-06-18,Oxford Ultimate,Reading 2,15,10
Mooxed,2023-06-18,Purple Cobras,Norwich Ultimate,14,5
Mooxed,2023-06-18,Reading 2,Flyght Mixed,11,10
Mooxed,2023-06-18,Reading 2,Zoo 1,14,10
Mooxed,2023-06-18,Thundering Herd,Lemmings 2,12,11
Mooxed,2023-06-18,Thundering Herd 2,South Wales Storm Mixed,10,9
Mooxed,2023-06-18,Zoo 1,Norwich Ultimate,10,9
TOWWAPM,2023-07-15,Big Fish Little Fish,BN1,11,9
TOWWAPM,2023-07-15,Bristol Mixed,Black Sheep Mixed,11,8
TOWWAPM,2023-07-15,Bristol Mixed,Red Mixed,12,3
TOWWAPM,2023-07-15,Brixton,Cambridge Ultimate 2,11,9
TOWWAPM,2023-07-15,Cambridge Ultimate,GB Mixed Masters,9,7
TOWWAPM,2023-07-15,Cambridge Ultimate,Purple Cobras,13,9
TOWWAPM,2023-07-15,Contested 1st,Curve,9,9
TOWWAPM,2023-07-15,Contested 1st,LLLeeds 1,11,7
TOWWAPM,2023-07-15,Deep Space,Flyght Mixed,15,1
TOWWAPM,2023-07-15,Deep Space,SMOG 2,10,8
TOWWAPM,2023-07-15,Deep Space,Thundering Herd,13,6
TOWWAPM,2023-07-15,Exe and the City,Glasgow Mixed,13,7
TOWWAPM,2023-07-15,Exe and the City,Lemmings 2,12,9
TOWWAPM,2023-07-15,Exe and the City,Mixed Feelings,15,5
TOWWAPM,2023-07-15,GB Mixed Masters,Purple Cobras,13,2
TOWWAPM,2023-07-15,Glasgow Mixed,Mixed Feelings,14,8
TOWWAPM,2023-07-15,LLLeeds 1,Curve,9,8
TOWWAPM,2023-07-15,Lemmings 1,Cambridge Ultimate,10,5
TOWWAPM,2023-07-15,Lemmings 1,GB Mixed Masters,10,9
TOWWAPM,2023-07-15,Lemmings 1,Purple Cobras,11,4
TOWWAPM,2023-07-15,Lemmings 2,Glasgow Mixed,11,8
TOWWAPM,2023-07-15,Lemmings 2,Mixed Feelings,15,4
TOWWAPM,2023-07-15,Newcastle Brown,Nemesis,10,7
TOWWAPM,2023-07-15,Oxford Ultimate,BN1,11,9
TOWWAPM,2023-07-15,Oxford Ultimate,Big Fish Little Fish,12,9
TOWWAPM,2023-07-15,Reading 2,Brixton,15,5
TOWWAPM,2023-07-15,Reading 2,Cambridge Ultimate 2,15,3
TOWWAPM,2023-07-15,Reading 2,Zoo 1,10,7
TOWWAPM,2023-07-15,Red Mixed,Black Sheep Mixed,9,7
TOWWAPM,2023-07-15,SLAB,Black Sheep Mixed,15,3
TOWWAPM,2023-07-15,SLAB,Bristol Mixed,14,1
TOWWAPM,2023-07-15,SLAB,Red Mixed,15,2
TOWWAPM,2023-07-15,SMOG 1,BN1,11,5
TOWWAPM,2023-07-15,SMOG 1,Big Fish Little Fish,15,4
TOWWAPM,2023-07-15,SMOG 1,Oxford Ultimate,14,6
TOWWAPM,2023-07-15,SMOG 2,Flyght Mixed,15,3
TOWWAPM,2023-07-15,SMOG 2,Thundering Herd,11,6
TOWWAPM,2023-07-15,Sheffield Steal,Nemesis,8,6
TOWWAPM,2023-07-15,Sheffield Steal,Newcastle Brown,10,9
TOWWAPM,2023-07-15,Thundering Herd,Flyght Mixed,11,9
TOWWAPM,2023-07-15,Zoo 1,Brixton,11,3
TOWWAPM,2023-07-15,Zoo 1,Cambridge Ultimate 2,14,3
TOWWAPM,2023-07-16,BN1,Flyght Mixed,13,1
TOWWAPM,2023-07-16,Black Sheep Mixed,Brixton,9,8
TOWWAPM,2023-07-16,Bristol Mixed,Zoo 1,11,7
TOWWAPM,2023-07-16,Cambridge Ultimate,Lemmings 2,15,10
TOWWAPM,2023-07-16,Cambridge Ultimate,SMOG 2,12,6
TOWWAPM,2023-07-16,Cambridge Ultimate 2,Brixton,12,6
TOWWAPM,2023-07-16,Contested 1st,BN1,13,8
TOWWAPM,2023-07-16,Contested 1st,Sheffield Steal,11,10
TOWWAPM,2023-07-16,Curve,Black Sheep Mixed,14,12
TOWWAPM,2023-07-16,Curve,Cambridge Ultimate 2,15,11
TOWWAPM,2023-07-16,Deep Space,Lemmings 1,15,9
TOWWAPM,2023-07-16,Deep Space,Lemmings 2,13,8
TOWWAPM,2023-07-16,Exe and the City,SMOG 2,14,9
TOWWAPM,2023-07-16,GB Mixed Masters,Glasgow Mixed,10,8
TOWWAPM,2023-07-16,GB Mixed Masters,Thundering Herd,14,8
TOWWAPM,2023-07-16,Glasgow Mixed,Big Fish Little Fish,13,6
TOWWAPM,2023-07-16,LLLeeds 1,Bristol Mixed,13,5
TOWWAPM,2023-07-16,LLLeeds 1,Newcastle Brown,11,10
TOWWAPM,2023-07-16,LLLeeds 1,Zoo 1,14,2
TOWWAPM,2023-07-16,Lemmings 1,Exe and the City,12,9
TOWWAPM,2023-07-16,Lemmings 1,Oxford Ultimate,13,6
TOWWAPM,2023-07-16,Lemmings 2,Oxford Ultimate,12,6
TOWWAPM,2023-07-16,Mixed Feelings,BN1,14,8
TOWWAPM,2023-07-16,Nemesis,Black Sheep Mixed,15,4
TOWWAPM,2023-07-16,Nemesis,Brixton,14,6
TOWWAPM,2023-07-16,Nemesis,Red Mixed,15,6
TOWWAPM,2023-07-16,Newcastle Brown,Bristol Mixed,9,6
TOWWAPM,2023-07-16,Newcastle Brown,Zoo 1,13,7
TOWWAPM,2023-07-16,Purple Cobras,Flyght Mixed,11,9
TOWWAPM,2023-07-16,Purple Cobras,Mixed Feelings,12,10
TOWWAPM,2023-07-16,Reading 2,Purple Cobras,10,5
TOWWAPM,2023-07-16,Reading 2,Sheffield Steal,15,10
TOWWAPM,2023-07-16,Red Mixed,Cambridge Ultimate 2,14,10
TOWWAPM,2023-07-16,Red Mixed,Curve,13,12
TOWWAPM,2023-07-16,SLAB,Contested 1st,15,6
TOWWAPM,2023-07-16,SLAB,Mixed Feelings,15,7
TOWWAPM,2023-07-16,SLAB,Reading 2,12,10
TOWWAPM,2023-07-16,SMOG 1,Cambridge Ultimate,15,8
TOWWAPM,2023-07-16,SMOG 1,Deep Space,10,8
TOWWAPM,2023-07-16,SMOG 1,Exe and the City,12,10
TOWWAPM,2023-07-16,SMOG 2,Oxford Ultimate,13,6
TOWWAPM,2023-07-16,Sheffield Steal,Flyght Mixed,11,10
TOWWAPM,2023-07-16,Thundering Herd,Big Fish Little Fish,11,10
Regionals North,2023-07-29,Flyght Mixed,Birmingham Ultimate,10,8
Regionals North,2023-07-29,Glasgow Mixed,Birmingham Ultimate,15,6
Regionals North,2023-07-29,Glasgow Mixed,Flyght Mixed,13,5
Regionals North,2023-07-29,Lemmings 1,Birmingham Ultimate,15,6
Regionals North,2023-07-29,Lemmings 1,Flyght Mixed,14,3
Regionals North,2023-07-29,Lemmings 1,Glasgow Mixed,12,3
Regionals North,2023-07-29,Nemesis,Black Sheep Mixed,15,4
Regionals North,2023-07-29,SMOG 1,Black Sheep Mixed,15,3
Regionals North,2023-07-29,SMOG 1,Nemesis,15,3
Regionals North,2023-07-29,SMOG 1,SMOG 2,15,2
Regionals North,2023-07-29,SMOG 2,Black Sheep Mixed,15,2
Regionals North,2023-07-29,SMOG 2,Nemesis,12,7
Regionals South,2023-07-29,BN1,Guildford,13,3
Regionals South,2023-07-29,BN1,Thundering Herd,7,3
Regionals South,2023-07-29,BN1,Zoo 1,10,8
Regionals South,2023-07-29,Bristol Mixed,Brixton,8,7
Regionals South,2023-07-29,Deep Space,BN1,13,1
Regionals South,2023-07-29,Deep Space,Guildford,13,0
Regionals South,2023-07-29,Deep Space,Thundering Herd,13,5
Regionals South,2023-07-29,Deep Space,Zoo 1,13,6
Regionals South,2023-07-29,Oxford Ultimate,Bristol Mixed,12,3
Regionals South,2023-07-29,Oxford Ultimate,Brixton,13,3
Regionals South,2023-07-29,Oxford Ultimate,Purple Cobras,11,7
Regionals South,2023-07-29,Purple Cobras,Bristol Mixed,8,6
Regionals South,2023-07-29,Purple Cobras,Brixton,13,3
Regionals South,2023-07-29,Reading,Bristol Mixed,13,6
Regionals South,2023-07-29,Reading,Brixton,13,2
Regionals South,2023-07-29,Reading,Oxford Ultimate,13,7
Regionals South,2023-07-29,Reading,Purple Cobras,13,4
Regionals South,2023-07-29,Thundering Herd,Guildford,13,2
Regionals South,2023-07-29,Thundering Herd,Zoo 1,10,8
Regionals South,2023-07-29,Zoo 1,Guildford,11,2
Regionals North,2023-07-30,Birmingham Ultimate,Black Sheep Mixed,11,9
Regionals North,2023-07-30,Flyght Mixed,Black Sheep Mixed,12,6
Regionals North,2023-07-30,Glasgow Mixed,SMOG 2,11,10
Regionals North,2023-07-30,Lemmings 1,SMOG 2,12,8
Regionals North,2023-07-30,Nemesis,Birmingham Ultimate,10,8
Regionals North,2023-07-30,Nemesis,Flyght Mixed,14,5
Regionals North,2023-07-30,SMOG 1,Glasgow Mixed,15,4
Regionals North,2023-07-30,SMOG 1,Lemmings 1,11,6
Regionals South,2023-07-30,BN1,Purple Cobras,15,4
Regionals South,2023-07-30,BN1,Thundering Herd,14,7
Regionals South,2023-07-30,Bristol Mixed,Guildford,13,5
Regionals South,2023-07-30,Brixton,Guildford,10,9
Regionals South,2023-07-30,Deep Space,Thundering Herd,15,7
Regionals South,2023-07-30,Oxford Ultimate,Bristol Mixed,15,1
Regionals South,2023-07-30,Oxford Ultimate,Zoo 1,14,9
Regionals South,2023-07-30,Purple Cobras,Bristol Mixed,9,4
Regionals South,2023-07-30,Reading,BN1,15,8
Regionals South,2023-07-30,Reading,Deep Space,14,11
Regionals South,2023-07-30,Thundering Herd,Oxford Ultimate,10,6
Regionals South,2023-07-30,Zoo 1,Brixton,7,5
Regionals South,2023-07-30,Zoo 1,Purple Cobras,8,7
Nationals,2023-08-27,BN1,Flyght Mixed,15,10
Nationals,2023-08-27,Deep Space,BN1,15,5
Nationals,2023-08-27,Deep Space,Flyght Mixed,15,2
Nationals,2023-08-27,Deep Space,Glasgow Mixed,15,5
Nationals,2023-08-27,Glasgow Mixed,Zoo 1,15,6
Nationals,2023-08-27,Lemmings 1,BN1,15,5
Nationals,2023-08-27,Lemmings 1,Glasgow Mixed,12,7
Nationals,2023-08-27,Lemmings 1,Zoo 1,15,2
Nationals,2023-08-27,Nemesis,Zoo 1,12,11
Nationals,2023-08-27,Oxford Ultimate,Flyght Mixed,13,8
Nationals,2023-08-27,Reading,Nemesis,15,6
Nationals,2023-08-27,Reading,SMOG 2,15,6
Nationals,2023-08-27,Reading,Thundering Herd,15,5
Nationals,2023-08-27,SMOG 1,Oxford Ultimate,15,7
Nationals,2023-08-27,SMOG 1,SMOG 2,15,9
Nationals,2023-08-27,SMOG 1,Thundering Herd,15,6
Nationals,2023-08-27,SMOG 2,Oxford Ultimate,13,7
Nationals,2023-08-27,Thundering Herd,Nemesis,14,9
Nationals,2023-08-28,BN1,Thundering Herd,10,9
Nationals,2023-08-28,Deep Space,Lemmings 1,12,7
Nationals,2023-08-28,Deep Space,Reading,12,8
Nationals,2023-08-28,Flyght Mixed,Zoo 1,13,5
Nationals,2023-08-28,Glasgow Mixed,BN1,14,8
Nationals,2023-08-28,Glasgow Mixed,SMOG 2,15,7
Nationals,2023-08-28,Lemmings 1,SMOG 1,15,9
Nationals,2023-08-28,Nemesis,Flyght Mixed,10,7
Nationals,2023-08-28,Oxford Ultimate,Nemesis,15,6
Nationals,2023-08-28,Oxford Ultimate,Zoo 1,13,8
Nationals,2023-08-28,SMOG 1,Reading,14,11
Nationals,2023-08-28,SMOG 2,Thundering Herd,15,6
